Rank	NCT Number	Title	Acronym	Status	Study Results	Conditions	Interventions	Outcome Measures	Sponsor/Collaborators	Gender	Age	Phases	Enrollment	Funded Bys	Study Type	Study Designs	Other IDs	Start Date	Primary Completion Date	Completion Date	First Posted	Results First Posted	Last Update Posted	Locations	Study Documents	URL
263	NCT01039792	Trial of Methyl B12 on Behavioral and Metabolic Measures in Children With Autism	B12	Completed	Has Results	Autistic Disorder	Drug: Methyl B12|Dietary Supplement: Placebo	Clinical Global Impression-Improvement (CGI-I)	University of California, San Francisco|University of California, Davis|Arkansas Children's Hospital Research Institute	All	3 Years to 7 Years   (Child)	Phase 2|Phase 3	57	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment	Autism Speaks 3031	January 2010	October 2013	November 2013	December 25, 2009	February 24, 2017	February 24, 2017	UCSF, San Francisco, California, United States		https://ClinicalTrials.gov/show/NCT01039792
264	NCT00996931	Efficacy and Safety of Lenalidomide for Treatment of Autistic Spectrum Disorders		Completed	Has Results	Autism	Drug: lenalidomide	Change in TNF-alpha Levels|Change in Childhood Autism Rating Scale (CARS)Value From Baseline to 6 Weeks	Sutter Medical Foundation	Male	6 Years to 16 Years   (Child)	Phase 2	6	Other	Interventional	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	RV-ASD-CHEZ-0329	February 2009	December 2009	December 2009	October 16, 2009	May 29, 2013	May 29, 2013			https://ClinicalTrials.gov/show/NCT00996931
265	NCT03835117	Effect of a Wide Spectrum Nutritional Supplement on Mitochondrial Function in Children With Autism Spectrum Disorder		Active, not recruiting	No Results Available	Autism Spectrum Disorder	Drug: Wide-spectrum nutritional supplement|Other: Placebo	Change in mitochondrial activity in study patients|Change in the Childhood Autism Rating Scale (CARS) score|Change in the Clinical Global Impression scale (CGI) score|Change in the Children's Yale-Brown Obsessive Compulsive Scale modified for Autism Spectrum Disorder (CYBOCS-ASD) score|Change in the Aberrant Behavior Checklist (ABC) scores|Change in the Parent-rated Anxiety Scale for ASD (PRAS-ASD) score|Change in the Caregiver Strain Questionnaire (CGSQ) score|Change in the Vineland III Caregiver score|Evaluate intervention safety|Evaluate intervention effect on cellular regulatory pathways known to be implicated in ASD|Examine the change in attention to social stimuli|Examine the change in cognitive ability	Rossignol Medical Center|Southwest Autism Research & Resource Center	All	2 Years to 17 Years   (Child)	Phase 2	50	Other	Interventional	Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment	MITO	February 1, 2020	December 2023	December 2023	February 8, 2019		September 28, 2022	Southwestern Research & Resource Center, Phoenix, Arizona, United States		https://ClinicalTrials.gov/show/NCT03835117
266	NCT03537950	Shifting Brain Excitation-Inhibition Balance in Autism Spectrum Disorder		Unknown status	No Results Available	Autism Spectrum Disorder	Drug: PLC|Drug: CBD|Drug: CBDV	Brain biochemistry response to pharmacological stimulation|Measurement of low frequency brain activity using resting state fMRI|Measurement of brain functional connectivity using resting state fMRI	King's College London	Male	18 Years to 50 Years   (Adult)	Not Applicable	38	Other	Interventional	Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Basic Science	HR15-162744	August 22, 2016	February 16, 2017	April 27, 2019	May 25, 2018		May 25, 2018	King's College London, London, United Kingdom		https://ClinicalTrials.gov/show/NCT03537950
267	NCT03621189	The Impacts of Theta-burst Stimulation on Children and Adolescents With Autism Spectrum Disorder		Completed	Has Results	Autism Spectrum Disorder	Device: intermittent theta burst stimulation	Changes of Total Scores of Social Responsiveness Scale|Changes of Total Scores of Repetitive Behavior Scale-Revised|Changes in Accuracy of Frith-Happe Animation|Changes in Accuracy of Eyes Task|Functional MRI (Biological Motion Task)|Resting State fMRI|Diffusion Tensor Imaging	Chang Gung Memorial Hospital	All	7 Years to 18 Years   (Child, Adult)	Not Applicable	80	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Care Provider)|Primary Purpose: Treatment	201509413A0	November 2, 2016	April 17, 2019	April 17, 2019	August 8, 2018	August 27, 2021	August 27, 2021	Chang Gung Memorial Hospital, Taoyuan, Taiwan	"Study Protocol and Statistical Analysis Plan", https://ClinicalTrials.gov/ProvidedDocs/89/NCT03621189/Prot_SAP_000.pdf	https://ClinicalTrials.gov/show/NCT03621189
268	NCT03177525	Parent Training to Enhance Social Success for Children With Autism Spectrum Disorder		Completed	No Results Available	Autism Spectrum Disorder	Behavioral: Social SUCCESS|Behavioral: Wait List	Change in Visual Analog Scale Rating from Baseline to Week 12|Change in frequency of child initiations|Change in parent fidelity of implementation|Social Responsiveness Scale, Second Edition|Social Skills Improvement System	Stanford University	All	4 Years to 6 Years   (Child)	Not Applicable	22	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment	41867	August 9, 2017	November 12, 2021	November 23, 2021	June 6, 2017		December 10, 2021	Stanford University, Stanford, California, United States		https://ClinicalTrials.gov/show/NCT03177525
269	NCT04298164	Evaluating the Effectiveness of an Acceptance and Commitment Therapy-based Group Intervention for Parents of Children With a Diagnosis of Autism Spectrum Disorder		Completed	No Results Available	Autism Spectrum Disorder	Behavioral: START programme|Behavioral: Treatment as Usual	Change in psychological flexibility|Parenting stress|Mental wellbeing|Parent relationship	University College Dublin	All	18 Years and older   (Adult, Older Adult)	Not Applicable	56	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment	START1	November 25, 2019	March 30, 2021	March 30, 2021	March 6, 2020		May 3, 2021	HSE Donegal, Donegal, Ireland|HSE Longford/Westmeath, Longford, Ireland		https://ClinicalTrials.gov/show/NCT04298164
270	NCT03020277	Use of a Smartphone© Application to Study Autism Spectrum Disorders (ASD)	SMARTAUTISM	Unknown status	No Results Available	Autism Spectrum Disorders	Other: Ecological Momentary Assessment with Smartphone© Application	Filling rate of the application|child behavior with pairs|child sleep disorders|child eating disorders|child general behavior|Visual Analogic scale quotation about parental self esteem|Visual Analogic scale quotation about parental anxiety|Visual Analogic scale quotation about parental sleep|Visual Analogic scale quotation about parental mood|Visual Analogic scale quotation about parental stress|Visual Analogic scale quotation about parental pain|Visual Analogic scale quotation about parental professional life|Visual Analogic scale quotation about parental personal life|Visual Analogic scale quotation about parental social life|Visual Analogic scale quotation about parental support and resources|the duration of use|the time of use|rate of complete filling	Nantes University Hospital|Institut de Recherche en Santé Publique, France	All	3 Years to 16 Years   (Child)	Not Applicable	100	Other	Interventional	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)	RC16_0185	January 2017	January 2018	January 2018	January 13, 2017		January 13, 2017	Nantes CHU, France, Nantes, France|Angers CHU, Angers, France		https://ClinicalTrials.gov/show/NCT03020277
271	NCT03594552	Modulation of the Brain Excitatory/Inhibitory (E/I) Balance in Autism Spectrum Disorder (ASD)		Completed	No Results Available	Autism Spectrum Disorder	Drug: Arbaclofen_15|Drug: Arbaclofen_30|Drug: Placebo	Neurochemical response to GABAergic stimulation.|Functional connectivity measures using resting state functional magnetic resonance imaging.|Brain oscillations under sensory stimulation	King's College London	All	18 Years to 60 Years   (Adult)	Not Applicable	87	Other	Interventional	Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Basic Science	HR16-17 4081	February 1, 2018	March 12, 2020	March 12, 2020	July 20, 2018		November 22, 2022	King's College London, London, United Kingdom		https://ClinicalTrials.gov/show/NCT03594552
272	NCT02280746	Gluten for Autism Spectrum Disorders		Unknown status	No Results Available	Autism Spectrum Disorders	Other: Gluten challenge	The extent of autistic symptoms based on the Autism Diagnostic Observation Schedule - 2 (ADOS-2)|The severity of symptoms based on a Social Communication Questionnaire (SCQ)|Presentation of gastrointestinal (GI) functional disorders (evaluation based on a parent-report form - Rome III diagnostic questionnaire|The extent of adaptive level of functioning on Vineland Adaptive Behavior Scale (VABS)|The extent of functioning on Autism Spectrum Rating Scale (ASRS)|Anthropometry|Intelligence test Leiter International Performance Scale	Medical University of Warsaw|Nutricia Foundation	All	3 Years to 6 Years   (Child)	Not Applicable	70	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	RG 8/2013	September 2014	December 2015	December 2015	October 31, 2014		October 31, 2014	Medical University of Warsaw, Warsaw, Poland		https://ClinicalTrials.gov/show/NCT02280746
273	NCT01366885	Vitamin D to Prevent Autism in Newborn Siblings		Completed	Has Results	Autistic Disorder	Drug: Vitamin D3	Number of Children Who Developed Autism|Number of Mothers Who Developed Side Effects From Vitamin D	Oregon Health and Science University	Female	20 Years to 44 Years   (Adult)	Phase 2	20	Other	Interventional	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Prevention	OHSU-AS-11-1-11	February 2008	February 2016	February 2016	June 6, 2011	June 14, 2016	June 14, 2016	Evergreen Center, Oregon City, Oregon, United States		https://ClinicalTrials.gov/show/NCT01366885
274	NCT05391113	REward SYSTem in Autism Spectrum Disorder and Addictive Disorder	RESYSTAA	Not yet recruiting	No Results Available	Autism Spectrum Disorder	Diagnostic Test: MRI	Blood Oxygene Level Dependent (BOLD) MRI signal|Tolerance to an MRI examination for FAD with overweight or obesity|Regulation of sensory, an fMRI measurement of the BOLD physiological signal for sensory responses (sensory block) in terms of brain activation in patients	University Hospital, Tours|INSERM UMR-1253, Tours, France	All	18 Years and older   (Adult, Older Adult)	Not Applicable	54	Other	Interventional	Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic	DR220016-RESYSTAA|2022-A01098-35|22-87	November 9, 2022	November 9, 2025	January 9, 2026	May 25, 2022		October 31, 2022	Center-Val de Loire Region Autism Resource Center, Tours, France|University Addictology Service, Liaison Team and Addictology Care, Tours, France|University Hospital, Medical Imaging Service, Tours, France		https://ClinicalTrials.gov/show/NCT05391113
275	NCT03003221	Improving Dental Care and Oral Health in Children With Autism Spectrum Disorder		Completed	No Results Available	Autism Spectrum Disorder	Behavioral: AIR-P Dental Toolkit|Behavioral: Parent Training	Frequency of tooth brushing at home|Child oral health according to standardized measures from visual exam|Child behavior during tooth brushing at home according to questionnaire|Observed child anxiety and behavior at the dental office visit as indexed by observer ratings on the Venham Anxiety and Behavior Scales (aggregate composite)|Dentist-reported child behavioral compliance during dental office visit as indexed by questionnaire|Completion of dental visit procedures according to questionnaire	University of California, Irvine|Massachusetts General Hospital|Nationwide Children's Hospital|California State University, Fullerton|Healthy Smiles for Kids of Orange County	All	3 Years to 13 Years   (Child)	Not Applicable	119	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment	2016-3043	December 2016	June 2019	June 2019	December 26, 2016		April 14, 2021	University of California Irvine, Irvine, California, United States|Nationwide Children's Hospital, Columbus, Ohio, United States		https://ClinicalTrials.gov/show/NCT03003221
276	NCT03195465	The Effect of High Antioxidant Cacao on Behaviors in Children With Autism Spectrum Disorder		Terminated	Has Results	Autism Spectrum Disorder	Dietary Supplement: Dark Chocolate	Aberrant Behavior Checklist 2nd Edition	Loma Linda University	All	4 Years to 18 Years   (Child, Adult)	Not Applicable	16	Other	Interventional	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Supportive Care	5170206	November 14, 2017	April 1, 2018	April 1, 2018	June 22, 2017	May 13, 2021	June 2, 2021	Loma Linda University Health, Loma Linda, California, United States	"Study Protocol and Statistical Analysis Plan", https://ClinicalTrials.gov/ProvidedDocs/65/NCT03195465/Prot_SAP_000.pdf	https://ClinicalTrials.gov/show/NCT03195465
277	NCT05271955	e-GOLIAH in Autistic Spectrum Disorders	e-GOLIAH-ECO	Not yet recruiting	No Results Available	Autism Spectrum Disorder	Device: "e-GOLIAH"|Behavioral: Usual care	Comparison of Incremental Cost-Utility Ratio (ICUR) at 12 months between the 2 groups|Comparison of Incremental Cost-utility ratio (ICUR) at 6 months between the 2 groups|Comparison of Incremental cost-effectiveness ratio (ICER) between the 2 groups|Comparison of the out of pocket payment for the consumption of treatments linked to the TSA between the 2 groups|Budget impact analysis (BIA) of e-GOLIAH in the management of children diagnosed with TSA for health insurance|Comparison of Quality of life between the 2 groups|Comparison of Adaptive symptoms between the 2 groups|Comparison of Autistic symptoms between the 2 groups|Comparison of Social interactions between the 2 groups|Comparison of Parental Stress between the 2 groups|The child's acceptability to the e-GOLIAH game at home	Assistance Publique - Hôpitaux de Paris|University Hospital, Montpellier	All	3 Years to 6 Years   (Child)	Not Applicable	150	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Other	APHP200052|2020-A03389-30	June 15, 2022	December 15, 2024	December 15, 2024	March 9, 2022		April 25, 2022	Fondation Lenval - Hôpitaux Pédiatriques de Nice- CHU Lenval, Nice, Alpes Maritimes, France|Centre Hospitalier Universitaire de Strasbourg, Strasbourg, Bas-Rhin, France|Centre Hospitalier Universitaire de Toulouse, Toulouse, Haut-Garonne, France|Centre Hospitalier Universitaire de Montpellier, Montpellier, Hérault, France|Assistance Publique - Hôpitaux de Paris, Site de la Pitié-Salpêtrière, Paris, Ile De France, France|Centre Hospitalier Sainte-Anne / GHU Paris Psychiatrie et Neurosciences, Paris, Ile De France, France|Assistance Publique - Hôpitaux de Paris, Site de Necker, Paris, Ile De France, France|Centre Hospitalier de Versailles - André Mignot, Versailles, Ile De France, France|Centre Hospitalier Universitaire de Tours, Tours, Indre-et-Loire, France|Centre Hospitalier Universitaire de Nancy, Nancy, Meurthe-et-Moselle, France|Centre Hospitalier d'Amiens, Amiens, Somme, France|Centre Hospitalier Universitaire de Paris - Centre Hospitalier d'Henri Laborit, Poitiers, Vienne, France		https://ClinicalTrials.gov/show/NCT05271955
278	NCT03254264	Impact of Early Interventions on Neurocognitive Profile of Children With Autism Spectrum Disorder	IDEAEYE	Terminated	No Results Available	Autism Spectrum Disorder	Behavioral: Early Start Denver Model|Behavioral: 'as-usual' intervention	The primary outcome will be the time spent on biological motion in the task of visual preference stimuli.|Average proximity from pattern eyes norm in complex social scene task|Difference of saccadic latencies between overlap and gap condition|Time spent on unpredictable stimuli	Hôpital le Vinatier	All	15 Months to 36 Months   (Child)	Not Applicable	1	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment	2015-A00696-43	May 29, 2017	March 25, 2022	March 25, 2022	August 18, 2017		April 6, 2022	Hopital Vinatier, Bron, France		https://ClinicalTrials.gov/show/NCT03254264
279	NCT03156153	A Study of Bumetanide for the Treatment of Autism Spectrum Disorders		Completed	No Results Available	Autism Spectrum Disorder	Drug: Bumetanide|Drug: Placebo	Childhood Autism Rating Scale(CARS)|Clinical Global Impressions Scale (CGI)|Social Responsiveness Scale (SRS)|Autism Diagnostic Observation Schedule (ADOS)|Short Sensory Profile Report|Symbolic Play Test|Chinese Communicative Development Inventory	Xinhua Hospital, Shanghai Jiao Tong University School of Medicine|Shanghai Jiao Tong University School of Medicine	All	3 Years to 6 Years   (Child)	Phase 2	120	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment	XH-16-048	May 24, 2017	July 8, 2019	July 10, 2019	May 17, 2017		March 1, 2021	Xinhua Hospital, Shanghai, Shanghai, China		https://ClinicalTrials.gov/show/NCT03156153
280	NCT02445625	BCI (Brain Computer Interface) Intervention in Autism	BCIAUT	Completed	Has Results	Autism Spectrum Disorder	Device: BCI to train joint attention in ASD	JAAT_NoFace|JAAT_Face|ATEC - Autism Treatment Evaluation Checklist|VABS - Vineland Adaptive Behaviour Scale	University of Coimbra	All	16 Years to 30 Years   (Child, Adult)	Not Applicable	15	Other	Interventional	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	IBILI-VB-2015-01	February 2016	November 2017	September 2018	May 15, 2015	February 18, 2019	February 18, 2019		"Statistical Analysis Plan", https://ClinicalTrials.gov/ProvidedDocs/25/NCT02445625/SAP_000.pdf|"Study Protocol", https://ClinicalTrials.gov/ProvidedDocs/25/NCT02445625/Prot_001.pdf	https://ClinicalTrials.gov/show/NCT02445625
281	NCT03055533	Headsprout Reading Program in Children With Autism Spectrum Disorder and Reading Delay		Completed	No Results Available	Autism Spectrum Disorder	Behavioral: Headsprout reading program	Change in Kaufman Test of Educational Achievement score (KTEA-3)|Change in the Dynamic Indicators of Basic Early Literacy Skills (DIBELS) assessment score	University of Nebraska	All	7 Years to 18 Years   (Child, Adult)	Not Applicable	16	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Supportive Care	278-18	October 1, 2018	March 3, 2022	June 24, 2022	February 16, 2017		June 28, 2022	University of Nebraska Medical Center, Omaha, Nebraska, United States		https://ClinicalTrials.gov/show/NCT03055533
282	NCT02358317	Motor Learning and Brain Changes in Autism		Completed	No Results Available	Autistic Disorder	Behavioral: Video Game Motor Training|Behavioral: Sedentary Video Game Training	Balance Time|Postural Stability|White matter microstructure of the Corticospinal tract|Adaptive Daily Living Skills|Social Responsiveness	University of Wisconsin, Madison|Brain & Behavior Research Foundation	All	13 Years to 17 Years   (Child)	Not Applicable	62	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Supportive Care	2014-1499	March 2015	May 2019	May 24, 2019	February 6, 2015		June 11, 2019	Waisman Center, University of Wisconsin-Madison, Madison, Wisconsin, United States		https://ClinicalTrials.gov/show/NCT02358317
283	NCT02493699	Martial Arts Therapy in Autism Spectrum Disorders		Completed	No Results Available	Autism Spectrum Disorders	Other: physical exercise- based intervention (Karate techniques training)	Raw score of communication subscale of Gilliam Autism Rating Scale-Second Edition (GARS-2) as the measure of communication deficit	University of Isfahan	All	5 Years to 16 Years   (Child)	Not Applicable	30	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	14/02/2011	May 2011	August 2011	September 2011	July 9, 2015		July 9, 2015			https://ClinicalTrials.gov/show/NCT02493699
284	NCT02382172	Social Cognition and Interaction Training for Autism	SCIT-A	Completed	No Results Available	Autism|Social Behavior	Behavioral: Social Cognition and Interaction Training for Autism (SCIT-A)|Other: Treatment as Usual (TAU)	Change in visual attention from baseline as measured by the Tobii Eye Tracking Paradigm|Change in patient social skills as measured by the Social Responsiveness Scale (SRS)|Change in patient social cognition as measured by the Hinting Task|Change in patient social cognition as measured by the Penn Emotion Recognition Task-40 (ER40)	University of North Carolina, Chapel Hill|North Carolina Translational and Clinical Sciences Institute|Carolina Institute for Developmental Disabilities	All	10 Years to 69 Years   (Child, Adult, Older Adult)	Not Applicable	44	Other	Interventional	Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Other	14-2804	January 2015	January 2017	January 2017	March 6, 2015		April 25, 2017	Carolina Institute for Developmental Disabilities, Carrboro, North Carolina, United States		https://ClinicalTrials.gov/show/NCT02382172
285	NCT02551380	Folinic Acid in Children With Autism Spectrum Disorders	EFFET	Unknown status	No Results Available	Autism Spectrum Disorder	Drug: FOLINORAL|Other: Placebo	Evaluation of severity of autistic symptoms with standardized scale ADOS (Autism Diagnosis Observation Scale)|Evaluation of the reduction of autistic symptom perceived by parents with a heteroevaluation scale : SRS (social responsiveness scale)|evaluate the constancy of auto antibodies anti-FRα	Central Hospital, Nancy, France	All	3 Years to 10 Years   (Child)	Phase 2	40	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Treatment	2015-000955-25	October 2015	January 2018	January 2018	September 16, 2015		April 7, 2017	CHU Nancy-Hopital Brabois Enfants, Vandoeuvre les Nancy, France		https://ClinicalTrials.gov/show/NCT02551380
286	NCT02488226	Gaze Modification Strategies for Toddlers With Autism Spectrum Disorder	ASD	Completed	No Results Available	Autism Spectrum Disorder	Other: Gaze-contingent eye-tracking technology	Gaze behavior during eye tracking tasks measured by standard eye-tracking analysis protocols|Behavior during real-world interactions measured by coding of video recordings	Yale University	All	18 Months to 60 Months   (Child)	Not Applicable	81	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Other	1306012246	June 2015	October 2016	December 2016	July 2, 2015		March 6, 2020	Yale Child Study Center, New Haven, Connecticut, United States		https://ClinicalTrials.gov/show/NCT02488226
287	NCT02733120	Metabolic Processes in Adults and Adolescents With Autism Spectrum Disorder	ASD	Unknown status	No Results Available	Autism Spectrum Disorder	Other: stable isotope infusion	Tryptophan turnover|leucine turnover|Whole body myofibrillar protein breakdown rate (reflecting muscle protein breakdown)|glutathione turnover|hydroxyproline breakdown (reflecting collagen breakdown)|glutamate turnover|taurine turnover|urea production|Group differences in state of mood as measured by the Hospital Anxiety and Depression Scale (HADS),|Group differences in learning and memory as measured by Auditory Verbal Learning Test (AVLT)|Group differences in learning and memory as measured by Controlled Oral Word Association Test (COWAT),|Group differences in learning and memory as measured by Digit Span|Group differences in overall cognitive abilities as measured by Montreal Cognitive Assessment (MoCA)|Group differences in attention and executive functions as measured by Trail Making Test (TMT),|Group differences in attention and executive functions as measured by Stroop Color-Word Test (SCWT),|Adolescent/Adult Sensory Profile|Group differences in attention and executive functions as measured by Brief-A|Group differences in attention and executive functions as measured by PASAT	Texas A&M University	All	16 Years and older   (Child, Adult, Older Adult)	Not Applicable	40	Other	Interventional	Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Supportive Care	2015-0542	October 2015	September 2020	September 2020	April 11, 2016		January 16, 2019	Texas A&M University-CTRAL, College Station, Texas, United States		https://ClinicalTrials.gov/show/NCT02733120
288	NCT00789932	Cognitive Behavioral Therapy for Core Autism Symptoms in School-Aged Children: A Randomized, Controlled Trial	BIACA-2	Completed	No Results Available	Autism Spectrum Disorder	Behavioral: cognitive behavioral therapy|Behavioral: Usual community care	ADIS-C/P (Anxiety Disorder Interview Schedule for Children and Parents)|Behavioral observations of social responsiveness	University of California, Los Angeles|Organization for Autism Research	All	7 Years to 11 Years   (Child)	Phase 1|Phase 2	20	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment	OAR-UCLA-2009	September 2008	December 2011	December 2011	November 13, 2008		February 5, 2013	UCLA, Los Angeles, California, United States		https://ClinicalTrials.gov/show/NCT00789932
289	NCT05067361	Effectiveness of Aerobic Exercises on the Autistic Children		Completed	No Results Available	Autism Spectrum Disorder	Procedure: Aerobic Exercise|Procedure: Ball Exercises	Repetitive behavior scale revised (RBS-R)|Jebsen Hand Function Test (JHFT)	University of Faisalabad	All	6 Years to 20 Years   (Child, Adult)	Not Applicable	38	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Supportive Care	TUF/DR/MSPP/173	March 3, 2020	August 8, 2020	October 26, 2020	October 5, 2021		October 5, 2021	University of Faisalabad, Faisalābad, Punjab, Pakistan		https://ClinicalTrials.gov/show/NCT05067361
290	NCT02747056	Study of the Personal Identity in Adults With Autism Spectrum Disorder Without Intellectual Deficiency	TSASDI	Completed	No Results Available	Autism Spectrum Disorders	Other: clinical, psychological and neuropsychological assessment|Other: Autobiographical memories Assessment|Other: Autobiographical memories assessment characteristics	The number of details in the memory (A)/The specificity of the memory (B)|Study A and B: Autistic symptoms questionnaire 1|Study A and B: Autistic symptoms questionnaire 2|Study A and B: Autistic symptoms questionnaire 3|Study A and B:Executives functions, test 1|Study Aand B:Executives functions test 2|Study A and B:Executives functions test 3|Study A and B: The self concept, questionnaire 1|Study A and B: The self concept, questionnaire 2|Study A and B: The self concept, questionnaire 3|Study A: the number of remember/ know/ guess responses, the perspective in recollection and the subjective temporal distance in the memory|Study B:The importance for the self of the memory test1|Study B:The importance for the self of the memory test 2|Study B:The importance for the self of the memory test 3|Study B:The importance for the self of the memory test 4	University Hospital, Strasbourg, France	All	18 Years to 65 Years   (Adult, Older Adult)	Not Applicable	102	Other	Interventional	Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science	6282	June 2016	August 2019	August 2019	April 21, 2016		August 21, 2019	Hôpitaux universitaires de Strasbourg, Strasbourg, France		https://ClinicalTrials.gov/show/NCT02747056
291	NCT01308749	A Study of Oxytocin in Children and Adolescents With Autistic Disorder	Oxytocin	Completed	Has Results	Autism	Drug: Oxytocin|Drug: Placebo	Number of Participants Who Could Tolerate Twice Daily Oxytocin|Change in Mean Plasma Oxytocin Level During Period 1 - Double Blind Phase|Change in Mean Weight|Change in Mean Total Social Social Responsiveness Scale (SRS) T-score|Change in Mean Autism Diagnostic Observation Schedule (ADOS) Total Score|Change in Mean Aberrant Behavior Checklist (ABC)-Social Withdrawal Subscale Score Over Both Periods|Change in Mean Pervasive Developmental Disorder Behavior Inventory - Screening Version (PDDBI-SV) Total Score Over Both Periods|Change in Mean Systolic Blood Pressure During Period 1|Mean Change in Prolactin Levels Over Period 1|Mean Change in Temperature During Period 1	University of North Carolina, Chapel Hill|Autism Speaks	All	3 Years to 17 Years   (Child)	Phase 2	25	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment	11-0493	March 2011	April 2013	April 2013	March 4, 2011	July 17, 2017	July 17, 2017	University of North Carolina Chapel Hill, Chapel Hill, North Carolina, United States		https://ClinicalTrials.gov/show/NCT01308749
292	NCT02608333	Efficiency of Early Intervention for Autism Spectrum Disorder	IDEA	Completed	No Results Available	Autism Spectrum Disorder	Behavioral: ESDM-12|Behavioral: control group	Developmental quotient at the Mullen Scale of Early Learning|Severity of autism symptoms is measured with ADOS 2|Adaptive behavior score is measured by the composite score of Vineland adaptative behavior scale 2|Productive language level assessed with a standardized French productive language developmental scale|Costs associated with interventions|Developement of communication and symbolic behavior|Parent child naturalistic interaction during play|Sensorial profil|Change at the Brief Observation of Social Communication Change (BOSCC)	Hôpital le Vinatier|University Hospital, Strasbourg, France|Versailles Hospital|Centre hospitalier Saint Jean de Dieu - ARHM|Hospices Civils de Lyon	All	15 Months to 36 Months   (Child)	Not Applicable	180	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment	2015-A00124-45	September 9, 2015	June 30, 2021	June 30, 2021	November 18, 2015		July 9, 2021	Hopital Vinatier, Bron, Aura, France		https://ClinicalTrials.gov/show/NCT02608333
293	NCT02487082	Pilot Study of Sleep Therapy and Biomarkers in Children With Autism Spectrum Disorders		Terminated	No Results Available	Autism Spectrum Disorder	Drug: Melatonin and Donepezil|Other: Placebo	Lethargy/Social Withdrawal|Stereotypic Behavior|Sleep quality|Clinician Global improvement|Parent Global improvement	Stony Brook University	All	4 Years to 17 Years   (Child)	Phase 2	12	Other	Interventional	Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment	65708	June 2015	December 31, 2020	January 29, 2021	July 1, 2015		April 28, 2021	Stony Brook University, Stony Brook, New York, United States		https://ClinicalTrials.gov/show/NCT02487082
