Rank	NCT Number	Title	Acronym	Status	Study Results	Conditions	Interventions	Outcome Measures	Sponsor/Collaborators	Gender	Age	Phases	Enrollment	Funded Bys	Study Type	Study Designs	Other IDs	Start Date	Primary Completion Date	Completion Date	First Posted	Results First Posted	Last Update Posted	Locations	Study Documents	URL
30	NCT03583684	Neuroimaging Predictors of Improvement to Pivotal Response Treatment (PRT) in Young Children With Autism	PRT-I	Recruiting	No Results Available	Autism Spectrum Disorder|Autism	Behavioral: Pivotal Response Treatment Program (PRT-P)	Change in Number of Child Utterances During a Structured Lab Observation (SLO)|Change on MacArthur-Bates Communication Development Inventory (CDI)	Stanford University|National Institute on Deafness and Other Communication Disorders (NIDCD)	All	2 Years to 4 Years   (Child)	Not Applicable	36	Other|NIH	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Investigator)|Primary Purpose: Treatment	IRB-46131	December 7, 2018	November 30, 2024	November 30, 2024	July 11, 2018		February 16, 2022	Stanford University, Stanford, California, United States		https://ClinicalTrials.gov/show/NCT03583684
31	NCT00183404	Long-Term Olanzapine Treatment in Children With Autism		Completed	No Results Available	Autism	Drug: Olanzapine	Children's Psychiatric Rating Scale|Aberrant Behavior Checklist|Clinical Global Impressions|Treatment Emergent Symptoms Scale|Olanzapine Untoward Effects Checklist|Abnormal Involuntary Movement Scale|Neurological Rating Scale	Drexel University|National Institute of Mental Health (NIMH)	All	3 Years to 12 Years   (Child)	Phase 2|Phase 3	32	Other|NIH	Interventional	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	R01MH073524|DDTR B2-NDA	September 2004	July 2011	October 2011	September 16, 2005		August 15, 2014	Drexel University College of Medicine at Friends Hospital, Philadelphia, Pennsylvania, United States		https://ClinicalTrials.gov/show/NCT00183404
32	NCT01529580	School-Age Children With Autism With Limited Expressive Language Skills		Completed	No Results Available	Autism Spectrum Disorder	Behavioral: Non-Verbal School Aged Children with Autism (NVSACA) Intervention	Change in Baseline Spontaneous Language|Change in Baseline Autism Diagnostic Observation Schedule|Change in Baseline Reynell|Changes in Baseline Early Social Communication Scales (ESCS)|Changes in Baseline Structured Play Assessment	Hugo W. Moser Research Institute at Kennedy Krieger, Inc.|National Institute of Mental Health (NIMH)	All	48 Months to 95 Months   (Child)	Not Applicable	13	Other|NIH	Interventional	Allocation: Randomized|Intervention Model: Single Group Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment	NA_00049467|3R01MH085048-03S1	January 2012	December 2013	December 2013	February 9, 2012		March 10, 2021	Kennedy Krieger Institute, Baltimore, Maryland, United States		https://ClinicalTrials.gov/show/NCT01529580
33	NCT04278898	Targeting the Neurobiology of RRB in Autism Using N-acetylcysteine: Single-dose		Recruiting	No Results Available	Autism Spectrum Disorder	Drug: N-Acetylcysteine	Change in glutamatergic neurometabolites (Glx) measured by proton spectroscopy Magnetic Resonance Imaging (MRI)|Change in Gamma band amplitude and synchronization measured by electroencephalography	Stanford University|Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)	All	3 Years to 12 Years   (Child)	Phase 2	24	Other|NIH	Interventional	Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment	IRB-54931	February 12, 2021	August 2023	January 2024	February 20, 2020		September 8, 2022	Stanford University School of Medicine, Stanford, California, United States		https://ClinicalTrials.gov/show/NCT04278898
34	NCT00090428	Diet and Behavior in Young Children With Autism		Completed	No Results Available	Autism|Autistic Disorder	Behavioral: Gluten- and casein-free diet|Behavioral: Placebo controlled diet	Safety and efficacy of the gluten free casein free diet	University of Rochester|National Institute of Mental Health (NIMH)	All	30 Months to 54 Months   (Child)	Phase 1	21	Other|NIH	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment	U54MH066397|DDTR BD-DD	January 2004	October 2008	February 2009	August 27, 2004		February 1, 2013	University of Rochester Medical Center, Rochester, New York, United States		https://ClinicalTrials.gov/show/NCT00090428
35	NCT01170325	A Study of Divalproex Sodium in Children With ASD and Epileptiform EEG		Withdrawn	No Results Available	Autism|Autism Spectrum Disorders	Drug: Divalproex Sodium|Drug: Placebo Comparator	epileptiform EEG discharges|Improvement in behavior	National Institute of Mental Health (NIMH)|National Institutes of Health Clinical Center (CC)	All	3 Years to 10 Years   (Child)	Phase 2	0	NIH	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double|Primary Purpose: Treatment	100157|10-M-0157	June 30, 2010	January 28, 2011	January 28, 2011	July 27, 2010		July 2, 2017	National Institutes of Health Clinical Center, 9000 Rockville Pike, Bethesda, Maryland, United States		https://ClinicalTrials.gov/show/NCT01170325
36	NCT03204786	Intranasal Vasopressin Treatment in Children With Autism		Recruiting	No Results Available	Autism|Autism Spectrum Disorder|ASD	Drug: Vasopressin (USP) Injectable Solution [Vasostrict]|Drug: Placebo	Change from baseline in parent rated Social Responsiveness Scale, Second Edition Total Scores (SRS-2) total scores during treatment.|Change from baseline in Clinical Global Impression (CGI) scores during treatment.|Change from baseline on Reading the Mind in the Eyes Test (RMET) during treatment.|Change from baseline on the Facial Emotion Recognition Test during treatment.|Change from baseline in parent rated Repetitive Behavior Scale Revised (RBS-R) scores during treatment.|Change from baseline in parent rated Spence Children's Anxiety Scale (SCAS) during treatment.|Change from baseline on electrocardiogram (EKG) (P Duration, PR Interval, QRS Interval, QT Interval) during treatment.|Change from baseline on clinical labs (Sodium, Potassium, Chloride) during treatment.|Change from baseline on blood pressure (systolic and diastolic) during treatment.|Change from baseline on the Dosage Record Treatment Emergent Symptom Scale (DOTES) during treatment.|Change from baseline in Overt Aggression Scale (OAS) during treatment.|Baseline vasopressin concentration predicting primary and secondary behavioral outcome measures.	Stanford University|Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)	All	6 Years to 17 Years   (Child)	Phase 2|Phase 3	100	Other|NIH	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment	IRB-39972|1R01HD091972	February 20, 2018	April 1, 2024	July 1, 2024	July 2, 2017		September 15, 2022	Stanford University, Stanford, California, United States		https://ClinicalTrials.gov/show/NCT03204786
37	NCT03556826	Social Value Training in Toddlers With Elevated Autism Symptoms	SVT	Recruiting	No Results Available	Autism Spectrum Disorder	Behavioral: Social Value Learning Training	Proportion of looking at faces during the laboratory and real-world tests|Proportion of looking at the scene during laboratory and real-world tests	Yale University|National Institute of Mental Health (NIMH)	All	15 Months to 21 Months   (Child)	Not Applicable	48	Other|NIH	Interventional	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	2000021541|P50MH115716	December 13, 2019	August 31, 2023	August 31, 2024	June 14, 2018		July 15, 2022	Yale University School of Medicine, New Haven, Connecticut, United States		https://ClinicalTrials.gov/show/NCT03556826
38	NCT01171937	Risperidone Treatment In Children With Autism Spectrum Disorder And High Levels Of Repetitive Behavior	ProjectV	Completed	No Results Available	Autism	Drug: Risperidone|Drug: Placebo	Aberrant Behavior Checklist	University of California, Los Angeles|Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)	All	8 Years to 16 Years   (Child)	Phase 2	41	Other|NIH	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment	07-06-033|P50HD055784	September 2008	September 2016	December 2016	July 29, 2010		May 17, 2022	UCLA, Los Angeles, California, United States		https://ClinicalTrials.gov/show/NCT01171937
39	NCT00467818	Omega 3 Fatty Acids in the Treatment of Children With Autism Spectrum Disorders		Completed	Has Results	Autism	Drug: Omega 3 fatty acids|Other: Placebo	Clinical Global Impression Scale(CGI)- Improvement|Aberrant Behavior Checklist (ABC)|Vineland Adaptive Behavior Scale|Overt Aggression Scale-Modified|Parental Stress Index	University of Medicine and Dentistry of New Jersey|National Center for Complementary and Integrative Health (NCCIH)|Rutgers, The State University of New Jersey	All	5 Years to 17 Years   (Child)	Not Applicable	17	Other|NIH	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment	0220060238|5R21AT002927	January 2007	December 2010	December 2010	May 1, 2007	December 16, 2020	January 26, 2021	University Behavioral Health Care Building, UMDNJ-RWJMS, Piscataway, New Jersey, United States		https://ClinicalTrials.gov/show/NCT00467818
40	NCT01962870	The Role of Vasopressin in the Social Deficits of Autism		Completed	Has Results	Autism Spectrum Disorders	Drug: Vasopressin|Drug: Placebo	Change From Baseline in Parent Rated Social Responsiveness Scale, 2nd Edition (SRS-2) T-Score After Treatment.|Change From Baseline in Clinical Global Impression (CGI) Severity, Social and Communication Scores During Treatment.|Change From Baseline in Reading the Mind in the Eyes Test, Child Version (RMET-child) Scores During Treatment.|Change From Baseline in Laboratory Based Facial Emotion Recognition Abilities During Treatment.|Change From Baseline in Parent Rated Repetitive Behavior Scale Revised (RBS-R) Scores During Treatment.|Change From Baseline in Parent Rated Spence Children's Anxiety Scale (SCAS) During Treatment.|Number of Participants With Side Effects Assessed Using Parent Rated Dosage Record Treatment Emergent Symptom Scale (DOTES) Scores During Treatment|Change From Baseline on the Overt Aggression Scale (OAS) During Treatment.|Change From Baseline in Heart Rate After Treatment.|Change From Baseline in Parent Rated Aberrant Behavior Checklist (ABC) Scores During Treatment.|Change From Baseline in Parent Rated Pediatric Quality of Life (PedQL) Inventory Scores During Treatment.|Change From Baseline in Parent Rated Vineland Adaptive Behavior Scales Second Edition (VABS-II) - Social and Communication Subscales During Treatment.|Change From Baseline in Clinical Chemistry Labs (NA+, K+, Cl-) During Treatment.|Change From Baseline in Laboratory Based Eye-gaze to Social Cues During Treatment.|Change From Baseline in Laboratory Based Social Mimicry Abilities During Treatment.|Change From Baseline in Blood Pressure After Treatment|Change From Baseline in Body Weight After Treatment.|Change From Baseline in Body Temperature After Treatment|Change From Baseline in the Awareness of Social Inference Test Revised (TASIT-R) Scores During Treatment.|Change From Baseline in a Developmental Neuropsychological Assessment, Second Edition. (NEPSY-II) Affect Recognition Scores During Treatment.|Change From Baseline in Plasma Vasopressin Levels During Treatment.	Stanford University|National Institute of Mental Health (NIMH)	All	6 Years to 12 Years   (Child)	Phase 2	68	Other|NIH	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment	IRB-26034|R21MH100387-01	December 2013	May 30, 2017	May 30, 2017	October 14, 2013	May 24, 2019	May 24, 2019	Stanford University School of Medicine; Psychiatry and Behavioral Sciences, Stanford, California, United States	"Statistical Analysis Plan", https://ClinicalTrials.gov/ProvidedDocs/70/NCT01962870/SAP_000.pdf|"Study Protocol", https://ClinicalTrials.gov/ProvidedDocs/70/NCT01962870/Prot_001.pdf	https://ClinicalTrials.gov/show/NCT01962870
41	NCT00095420	Relationship Training for Children With Autism and Their Peers		Completed	No Results Available	Autism|Autistic Disorder	Behavioral: Social skills training targeting children with autism|Behavioral: Social skills training of peers without autism|Behavioral: Combination treatment of social skills/education about autism|Behavioral: Usual training	Social network involvement of autistic children	University of California, Los Angeles|National Institute of Mental Health (NIMH)	All	6 Years to 11 Years   (Child)	Not Applicable	60	Other|NIH	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Other	U54MH068172|DDTR BD-DD	September 2003	June 2008	June 2008	November 5, 2004		February 25, 2022	University of California, Los Angeles, Los Angeles, California, United States		https://ClinicalTrials.gov/show/NCT00095420
42	NCT01322022	Treatment of Sleep Disturbances in Young Children With Autism		Completed	Has Results	Autism|Autism Spectrum Disorders	Behavioral: ParentTraining|Other: Parent Education	Modified Simond & Parraga Sleep Questionnaire (MSPSQ) - Composite Sleep Index|Actigraphy - Sleep Efficiency|Actigraphy - Sleep Latency|Actigraphy - Total Sleep Time	University of Pittsburgh|National Institute of Mental Health (NIMH)	All	24 Months to 72 Months   (Child)	Not Applicable	40	Other|NIH	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	PRO09070340|R34MH082882	December 2009	November 2012	January 2013	March 24, 2011	February 2, 2015	August 25, 2015	Children's Hospital of Pittsburgh Autism Cetner, Pittsburgh, Pennsylvania, United States		https://ClinicalTrials.gov/show/NCT01322022
43	NCT00106210	School- and Home-Based Early Intervention for Toddlers With Autism		Completed	No Results Available	Autistic Disorder|Autism	Behavioral: Early intervention blending several tx approaches, w/ focus|Behavioral: Early intervention blending several treatment approaches	Receptive language skills|Expressive language skills|Social cognitive skills|Social emotional functioning|Play skills	Hugo W. Moser Research Institute at Kennedy Krieger, Inc.|National Institute of Mental Health (NIMH)	All	18 Months to 33 Months   (Child)	Not Applicable	50	Other|NIH	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment	U54MH066417|DDTR BD-DD	May 2003	September 2007	September 2007	March 22, 2005		July 8, 2013	Kennedy Krieger Institute, Baltimore, Maryland, United States		https://ClinicalTrials.gov/show/NCT00106210
44	NCT03606343	Teaching Academic Success Skills to Students With Autism Spectrum Disorders in Clinical Setting	TASK-R21	Completed	Has Results	Autism Spectrum Disorder	Behavioral: Teaching Academic Skills to Kids	Children's Organizational Skills Scale|Behavior Rating Inventory of Executive Function - Second Edition|Homework Problem Checklist|Woodcock Johnson Tests of Achievement - Third Edition Basic Writing Subtest|Classroom Performance Survey|Academic Performance Rating System|Parenting Relationship Questionnaire - Communication Subscale	Children's Hospital Medical Center, Cincinnati|Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)	All	11 Years to 14 Years   (Child)	Not Applicable	21	Other|NIH	Interventional	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	R21HD090334-01A1	September 1, 2017	August 31, 2020	August 31, 2020	July 30, 2018	November 24, 2020	December 17, 2020	Cincinnati Children's Hospital Medical Center, Cincinnati, Ohio, United States	"Study Protocol and Statistical Analysis Plan", https://ClinicalTrials.gov/ProvidedDocs/43/NCT03606343/Prot_SAP_000.pdf	https://ClinicalTrials.gov/show/NCT03606343
45	NCT00609531	Functional MRI Evaluation of the Effect of Citalopram in Autism Spectrum Disorders		Completed	No Results Available	Autism Spectrum Disorders	Drug: Citalopram|Drug: Placebo	Functional Magnetic Resonance Imaging|Clinicians Global Improvement Scale|Childrens Yale-Brown Obsessive Compulsive Scale	University of North Carolina, Chapel Hill|National Institute of Mental Health (NIMH)	All	10 Years to 55 Years   (Child, Adult)	Phase 1	12	Other|NIH	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)	04-0975|NIH/NCRR K12 RR023248|The Dana Foundation|K23MH081285	January 2007	August 2009	August 2009	February 7, 2008		October 8, 2012	UNC-Chapel Hill, Chapel Hill, North Carolina, United States		https://ClinicalTrials.gov/show/NCT00609531
46	NCT03873831	Effects of Therapy Dogs on Social Behavior in Group Social Skills Instruction With Children With Autism		Unknown status	No Results Available	Autism Spectrum Disorder|Social Skills	Behavioral: Animal-assisted intervention|Behavioral: Social skills group	Verbal utterances|Direction of utterances|Quality of utterance|Unwanted behavior|Social behavior|Heart Rate|Electrodermal activity|Salivary cortisol|Quality of instruction: correct and timely feedback|Quality of instruction: adherence to the program script|Quality of instruction: attention to children	Texas Tech University|Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)	All	11 Years to 17 Years   (Child)	Not Applicable	72	Other|NIH	Interventional	Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	Therapy Dogs Group Autism|R21HD095206	May 15, 2019	December 31, 2020	December 31, 2020	March 14, 2019		September 6, 2019	Texas Tech University, Lubbock, Texas, United States		https://ClinicalTrials.gov/show/NCT03873831
47	NCT01691066	Pivotal Response Treatment for Infants At-Risk for Autism Spectrum Disorder		Completed	No Results Available	Autism Spectrum Disorders	Behavioral: Infant Toddler Years PRT	Feasibility of a novel behavioral treatment|Acceptability of a novel behavioral treatment	Yale University|National Institute of Mental Health (NIMH)	All	12 Months to 15 Months   (Child)	Not Applicable	30	Other|NIH	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	1110009256|R03MH092617	September 2012	February 27, 2017	February 27, 2017	September 24, 2012		June 26, 2020	Yale Child Study Center, New Haven, Connecticut, United States		https://ClinicalTrials.gov/show/NCT01691066
48	NCT03374072	Engaging Siblings of Adults With Autism in Future Planning		Completed	No Results Available	Autistic Disorder	Behavioral: Siblings FORWARD program|Behavioral: Information Only Condition	Change in Quality of Sibling Plan of Action|Sibling Future Planning Actions|Social Problem-Solving Skills Inventory-Revised|Family Communication about Future Planning|Future Planning Self-Efficacy|Sibling Barriers to Future Planning|Sibling Knowledge of Adult Services|Sibling Knowledge of Family Future Plan	Boston University Charles River Campus|National Institute of Mental Health (NIMH)	All	18 Years and older   (Adult, Older Adult)	Not Applicable	19	Other|NIH	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment	4366E|R34MH111489	February 1, 2017	January 31, 2021	January 31, 2021	December 15, 2017		May 28, 2021	Boston University, Boston, Massachusetts, United States		https://ClinicalTrials.gov/show/NCT03374072
49	NCT00090415	Early Characteristics of Autism		Completed	No Results Available	Autism|Autistic Disorder	Behavioral: Intensive behavioral therapy	Communication and social behavior scales; an early development interview; observations of parent/child interaction; and neuropsychological, cognitive, and adaptive behavioral measures	University of Washington|National Institute of Mental Health (NIMH)	All	18 Months to 30 Months   (Child)	Phase 1	48	Other|NIH	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	U54MH066399|DDTR BD-DD	April 2003	April 2008		August 27, 2004		June 19, 2012	University of Washington, Seattle, Washington, United States		https://ClinicalTrials.gov/show/NCT00090415
50	NCT02184390	Parenting Your Young Child With Autism: A Web-Based Tutorial		Completed	No Results Available	Autistic Disorder	Other: On LIne Parent Training Tutorial	System Usability Scale|Autism Knowledge Test	Center for Psychological Consultation|National Institute of Mental Health (NIMH)	All	18 Months to 6 Years   (Child)	Not Applicable	104	Other|NIH	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention	5R44MH086936	May 2013	May 2015	September 2015	July 9, 2014		February 3, 2016	Center for Psychological Consulation, Madison, Wisconsin, United States		https://ClinicalTrials.gov/show/NCT02184390
51	NCT03847337	Can Novel Telemedicine Tools Reduce Disparities Related to Early Identification of Autism		Completed	Has Results	Autism Spectrum Disorder|Developmental Delay	Other: Telehealth-Screening Tool for Autism in Toddlers (STAT)|Other: Telehealth-Autism Spectrum Disorder-Pediatrics (ASD-PEDS)	Accurate Diagnosis of Autism Via Telemedicine|Accurate Diagnosis of Developmental Delay Via Telemedicine	Vanderbilt University Medical Center|National Institute of Mental Health (NIMH)	All	15 Months to 3 Years   (Child)	Not Applicable	144	Other|NIH	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Care Provider, Outcomes Assessor)|Primary Purpose: Diagnostic	190152|1R21MH118539-01	March 4, 2019	September 30, 2021	September 30, 2021	February 20, 2019	November 29, 2022	November 29, 2022	Vanderbilt University Medical Center, Nashville, Tennessee, United States	"Study Protocol and Statistical Analysis Plan", https://ClinicalTrials.gov/ProvidedDocs/37/NCT03847337/Prot_SAP_000.pdf|"Informed Consent Form", https://ClinicalTrials.gov/ProvidedDocs/37/NCT03847337/ICF_001.pdf	https://ClinicalTrials.gov/show/NCT03847337
52	NCT00004449	Randomized Study of Intensive One-on-one Behavioral Treatment for Preschool Aged Children With Autism		Completed	No Results Available	Autistic Disorder	Behavioral: intensive one-on-one behavioral treatment|Behavioral: Individualized in home parent training	Wechsler Preschool and Primary Scales of Intelligence, 3rd ed.|Bayley Scales of Infant Development|Merrill-Palmer Scale of Mental Tests|Reynell Developmental Language Scales|Vineland Adaptive Behavior Scales - Survey Edition	University of California, Los Angeles|National Institute of Mental Health (NIMH)	All	2 Years to 3 Years   (Child)	Not Applicable	102	Other|NIH	Interventional	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	R01MH048863|UCLA-HSPC-G930506611	May 1998	September 2004	April 2006	October 19, 1999		May 27, 2015			https://ClinicalTrials.gov/show/NCT00004449
53	NCT05047224	Addressing Disparities in Autism Spectrum Disorder Diagnosis Using a Direct-to-home Telemedicine Tool		Recruiting	No Results Available	Autism Spectrum Disorder	Behavioral: Tele-assessment + in-person assessment|Behavioral: Tele-assessment only	Diagnostic accuracy of the TAP|Validity of the TAP|Family perceptions of tele-assessment|Family satisfaction with diagnostic services|Family empowerment|Child service access and utilization	Vanderbilt University Medical Center|National Institute of Mental Health (NIMH)	All	18 Months to 42 Months   (Child)	Not Applicable	720	Other|NIH	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Care Provider)|Primary Purpose: Diagnostic	210760|1R01MH127228-01	December 3, 2021	December 31, 2025	June 30, 2026	September 17, 2021		June 8, 2022	UC Davis MIND Institute, Sacramento, California, United States		https://ClinicalTrials.gov/show/NCT05047224
54	NCT00057408	A Controlled Study of Olanzapine in Children With Autism		Completed	No Results Available	Autistic Disorder	Drug: olanzapine (Zyprexa)|Drug: Placebo	Children's Psychiatric Rating Scale|Clinical Global Impressions|Aberant Behavior Checklist|Treatment Emergent Symptoms Scale|Olanzapine Untoward Effects Checklist|Abnormal Involuntary Movement Scale|Neurological Rating Scale	FDA Office of Orphan Products Development|National Institute of Mental Health (NIMH)	All	3 Years to 12 Years   (Child)	Phase 2	78	U.S. Fed|NIH	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment	2190	May 2003		September 2005	April 2, 2003		March 25, 2015	Drexel University College of Medicine c/o Friends Hospital, Philadelphia, Pennsylvania, United States		https://ClinicalTrials.gov/show/NCT00057408
55	NCT00873509	Buspirone in the Treatment of 2-6 Year Old Children With Autistic Disorder	B-ACE	Completed	No Results Available	Autistic Disorder	Drug: Buspirone|Drug: Placebo	To evaluate the effects of twice-daily oral buspirone on core features of autism in autistic children 2-6 years measuring the change from baseline in ADOS (Autism Diagnostic Observation Schedule) Composite Total scores compared to placebo at 6 months.|To evaluate the effects of twice-daily oral buspirone on the ADOS Composite calibrated severity score, social behavior, repetitive behavior, language, sensory dysfunction and anxiety.|To determine whether there are age group differences in the effects of buspirone on social interaction, repetitive behavior, language, sensory dysfunction and anxiety.|To determine whether there is a difference in the incidence of side effects and long term safety between the buspirone and placebo groups, and between the different dose groups.|To determine whether the whole brain PET measure of serotonin synthesis capacity is a predictor of buspirone effect.|To determine whether blood serotonin concentration is a predictor of buspirone effect.	Chugani, Diane C.|National Institute of Neurological Disorders and Stroke (NINDS)	All	2 Years to 6 Years   (Child)	Phase 2|Phase 3	166	Other|NIH	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment	10888|5U01NS061264	May 2009	January 2015	January 2015	April 1, 2009		July 26, 2016	University California Davis M.I.N.D. Institute, Sacramento, California, United States|Children's Hospital of Michigan Wayne State University, Detroit, Michigan, United States|New York University Langone Medical Center, New York, New York, United States|Rainbow Babies and Children's Hospital, Cleveland, Ohio, United States|Cleveland Clinic Lerner College of Medicine, Cleveland, Ohio, United States|University of Texas Southwestern, Dallas, Texas, United States		https://ClinicalTrials.gov/show/NCT00873509
56	NCT00760812	Comparing Parent-Implemented Interventions for Toddlers With Autism Spectrum Disorders		Completed	No Results Available	Autistic Disorder	Behavioral: Early Social Interaction Project- PII|Behavioral: Early Social Interaction Project- IES	Child measures of autism symptoms, social communication, developmental level, and adaptive behavior|Parent report measures of family functioning, daily hassles, and treatment satisfaction	Florida State University|National Institute of Mental Health (NIMH)	All	16 Months to 20 Months   (Child)	Not Applicable	82	Other|NIH	Interventional	Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment	R01MH077730|1R01MH077730-01A2|1R01MH078165-01A2|DDTR B2-MBA	April 2007	May 2013	January 2014	September 26, 2008		July 27, 2022	Florida State University, Tallahassee, Florida, United States|University of Michigan, Ann Arbor, Michigan, United States		https://ClinicalTrials.gov/show/NCT00760812
57	NCT05373173	Can a Novel Telemedicine Tool Reduce Disparities Related to the Identification of Preschool Children With Autism?	TAP-P	Recruiting	No Results Available	Autism Spectrum Disorder	Behavioral: Tele-assessment + In-person assessment	Positive Predictive Value (PPV) of the TAP-Preschool|Negative Predictive Value (NPV) of the TAP-Preschool|Sensitivity of the TAP-Preschool|Specificity of the TAP-Preschool|Diagnostic Certainty: Tele-assessment|Family Satisfaction|Diagnostic Certainty: In-person assessment	Vanderbilt University Medical Center|National Institute of Mental Health (NIMH)	All	36 Months to 72 Months   (Child)	Not Applicable	150	Other|NIH	Interventional	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic	220273|R21MH128790	June 1, 2022	December 15, 2024	December 15, 2024	May 13, 2022		October 21, 2022	Vanderbilt University Medical Center, Nashville, Tennessee, United States		https://ClinicalTrials.gov/show/NCT05373173
58	NCT00086645	Citalopram for Children With Autism and Repetitive Behavior (STAART Study 1)		Completed	No Results Available	Autistic Disorder	Drug: citalopram hydrobromide|Other: placebo	Clinical Global Improvement|Safety Monitoring Uniform Research Form (SMURF)|Children's Yale-Brown Obsessive-Compulsive Scale (CYBOCS)|Repetitive Behavior Scale-Revised (RBS-R)|Parent Chief Complaint|Aberrant Behavior Checklist|Child and Adolescent Symptom Inventory: Anxiety and Depression scales|Behavioral Activation|Caregiver Strain Questionnaire|Vineland	Boston University|National Institute of Mental Health (NIMH)	All	5 Years to 17 Years   (Child)	Phase 2	149	Other|NIH	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment	U54MH066398	April 2004	October 2006	April 2007	July 13, 2004		March 10, 2017	UCLA Neuropsychiatric Institute, Los Angeles, California, United States|Yale University, New Haven, Connecticut, United States|Dartmouth-Hitchcock Medical Center, Lebanon, New Hampshire, United States|North Shore - Long Island Jewish Hospital, Great Neck, New York, United States|Mount Sinai School of Medicine, New York, New York, United States|University of North Carolina Chapel Hill, Chapel Hill, North Carolina, United States		https://ClinicalTrials.gov/show/NCT00086645
