Rank	NCT Number	Title	Acronym	Status	Study Results	Conditions	Interventions	Outcome Measures	Sponsor/Collaborators	Gender	Age	Phases	Enrollment	Funded Bys	Study Type	Study Designs	Other IDs	Start Date	Primary Completion Date	Completion Date	First Posted	Results First Posted	Last Update Posted	Locations	Study Documents	URL
84	NCT04578756	Open-Label, Flexible-dose Study to Evaluate the Long-Term Safety and Tolerability of Cariprazine in the Treatment of Pediatric Participants With Schizophrenia, Bipolar I Disorder, or Autism Spectrum Disorder		Recruiting	No Results Available	Schizophrenia|Bipolar I Disorder|Autism Spectrum Disorder (ASD)	Drug: Cariprazine Flexible Dose	Number of Participants With Treatment-emergent Adverse Events (TEAEs) in the Treatment Period|Number of Participants With Clinically Significant Changes From Baseline in Clinical Laboratory Parameters|Number of Participants With Clinically Significant Changes From Baseline in Vital Sign Parameters|Number of Participants With Clinically Significant Changes From Baseline in Electrocardiograms (ECG)|Number of Participants With Suicidal Ideation or Suicidal Behavior as Recorded on the Columbia-Suicide Severity Rating (C-SSRS) Scale|Change From Baseline in Abnormal Involuntary Movement Scale (AIMS)|Change From Baseline in Barnes Akathisia Rating Scale (BARS)|Change From Baseline in Simpson-Angus Scale (SAS)|Number of Participants With Clinically Significant Changes From Baseline in Opthalmologic Parameters|Number of Participants With Menstrual Onset Shift (Female Participants Only)|Incidence of Participants Shifting in Tanner Staging	AbbVie	All	10 Years to 17 Years   (Child)	Phase 3	200	Industry	Interventional	Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	3070-301-001	February 1, 2021	June 4, 2023	May 29, 2024	October 8, 2020		August 26, 2022	Harmonex Neuroscience Research /ID# 234938, Dothan, Alabama, United States|Pillar Clinical Research /ID# 236434, Bentonville, Arkansas, United States|Advanced Research Center /ID# 241903, Anaheim, California, United States|Alliance for Research - Long Beach /ID# 236261, Long Beach, California, United States|Prospective Research Innovations Inc /ID# 236098, Rancho Cucamonga, California, United States|University of California, San Diego Department of Psychiatry /ID# 236466, San Diego, California, United States|Pacific Clinical Research Management Group /ID# 234377, Upland, California, United States|Sarkis Clinical Trials /ID# 236893, Gainesville, Florida, United States|Galiz Research - Palmetto Medical Plaza /ID# 236277, Hialeah, Florida, United States|Advanced Research Institute of Miami /ID# 242505, Homestead, Florida, United States|South Florida Research Ph I-IV /ID# 237453, Miami Springs, Florida, United States|Columbus Clinical Services, Llc /Id# 234281, Miami, Florida, United States|Florida Research Center, Inc. /ID# 236515, Miami, Florida, United States|Links Clinical Trials /ID# 240975, Miami, Florida, United States|Atlanta Center for Medical Research /ID# 234698, Atlanta, Georgia, United States|iResearch Atlanta, LLC /ID# 237391, Decatur, Georgia, United States|Atlanta Behavioral Research, LLC /ID# 236374, Dunwoody, Georgia, United States|Sleep Care Research Institute d/b/a Clinical Research Institute /ID# 242611, Stockbridge, Georgia, United States|AMITA Health St. Mary and St. Elizabeth Medical Ctr /ID# 235857, Chicago, Illinois, United States|The Kennedy Krieger Institute /ID# 236360, Baltimore, Maryland, United States|Med Clinical Research Partners LLC /ID# 236071, Irvington, New Jersey, United States|Erie County Medical Center /ID# 237204, Buffalo, New York, United States|University of Cincinnati /ID# 236913, Cincinnati, Ohio, United States|CincyScience /ID# 236390, West Chester, Ohio, United States|Cutting Edge Research Group /ID# 236664, Oklahoma City, Oklahoma, United States|BioBehavioral Research of Austin /ID# 236479, Austin, Texas, United States|Relaro Medical Trials /ID# 241960, Dallas, Texas, United States|McGovern Medical School /ID# 238506, Houston, Texas, United States|Red Oak Psychiatry Associates /ID# 236602, Houston, Texas, United States|AIM Trials /ID# 236368, Plano, Texas, United States|Family Psychiatry of The Woodlands /ID# 236426, The Woodlands, Texas, United States|Dr. Samuel Sanchez PSC /ID# 246047, Caguas, Puerto Rico|GCM Medical Group PSC /ID# 246048, San Juan, Puerto Rico		https://ClinicalTrials.gov/show/NCT04578756
85	NCT02199925	An Open-Label Study to Evaluate the Efficacy of High-Dose Gammaplex in Children on the Autism Spectrum		Unknown status	No Results Available	Autism|Autistic Disorder|Asperger's Disorder|PDD|Pervasive Developmental Disorder	Drug: Gammaplex 5%	The primary objective is to assess the efficacy of Gammaplex as an immunomodulatory therapy in autistic children with evidence of immune dysfunction.|The modulatory effect of IVIG on neuroinflammation will be assessed by laboratory measurements which we believe are indicative of immune dysregulation.	Isaac Melamed|Bio Products Laboratory|IMMUNOe Research Centers	All	4 Years to 12 Years   (Child)	Phase 4	30	Industry|Other	Interventional	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	GMXAUT01	June 2013	April 2015	July 2015	July 25, 2014		April 16, 2015	IMMUNOe International Research Centers, Centennial, Colorado, United States		https://ClinicalTrials.gov/show/NCT02199925
86	NCT05307744	Effects of Lactobacillus Plantarum PS128 in Children With ASD		Recruiting	No Results Available	Autism Spectrum Disorder	Dietary Supplement: PS128|Other: Placebo	Changes of total scores of Social Responsiveness Scale|Changes of total scores of Repetitive Behavior Scale-Revised|Changes of total scores of Child Behavior Checklist|Changes of total scores of Adaptive Behavior Assessment System|Changes in accuracy of Frith-Happe animation|Changes in accuracy of Eyes task|Changes of total scores of Aberrant Behavior Checklist|Visual Analogue Scale for GI symptoms|Changes of total scores of Emotional Dysregulation Inventory|Changes of total scores of Parenting Stress Index, Fourth Editon|Assessment of Clinical Global Impression-Severity of Illness|Assessment of Patient Global Impression of Change|Gut microbiota|MRI T1|functional MRI (resting-state/biological motion task) - BOLD signal|Diffusion Tensor Imaging (DTI) - FA|Safety assessment - Albumin|Safety assessment - Total Protein|Safety assessment - ALP|Safety assessment - Total Bilirubin|Safety assessment - T-Cholesterol|Safety assessment - Uric Acid|Safety assessment - BUN|Safety assessment - Creatinine|Safety assessment - AST|Safety assessment - ALT|Change in levels of exploratory blood-based biomarkers for inflammatory changes - MPO|Change in levels of exploratory blood-based biomarkers for inflammatory changes - IL-1β|Change in levels of exploratory blood-based biomarkers for inflammatory changes - TGF-β1|Change in levels of exploratory blood-based biomarkers for inflammatory changes - Eotaxin|Change in levels of exploratory blood-based biomarkers for inflammatory changes - IL-6|Change in levels of exploratory blood-based biomarkers for oxidative stress changes - Serotonin|Change in levels of exploratory blood-based biomarkers for oxidative stress changes - GABA|Change in levels of exploratory blood-based biomarkers for oxidative stress changes - Cortisol	Chang Gung Memorial Hospital|Bened Biomedical Co., Ltd.	All	7 Years to 12 Years   (Child)	Not Applicable	120	Other|Industry	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Other	202101416A3	July 15, 2022	July 31, 2025	December 31, 2026	April 1, 2022		July 22, 2022	Chang Gung Memorial Hospital, Taoyuan, Taiwan		https://ClinicalTrials.gov/show/NCT05307744
87	NCT05015439	Cannabidiol (CBD) in Adults With ASD		Recruiting	No Results Available	Autism Spectrum Disorder	Drug: Cannabidiol|Drug: Placebo	Change in Aberrant Behaviors as assessed by the Aberrant Behavior Checklist|Change in Anxiety as assessed by the Hamilton Anxiety Rating Scale|Change in Yale-Brown Obsessive Compulsive Scale (Y-BOCS)|Change in Clinical Global Impression Scale-Improvement (CGI)|Change in neuropsychiatric symptomatology as assessed by the Neuropsychiatric Inventory Questionnaire (NPI-Q)|Change in Waisman Activities of Daily Living scale|Change in Social Communication Questionnaire|Change in Mini Mental State Examination (MMSE)|Change in Adverse Effects- Drug Effect Questionnaire (DEQ) Subjective|Change in Adverse Effects- Drug Effect Questionnaire (DEQ) Informant|Change in Adverse Effects- Medication Side-Effects Questionnaire	Johns Hopkins University|Canopy Growth Corporation	All	18 Years and older   (Adult, Older Adult)	Phase 1	40	Other|Industry	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment	IRB00267739	December 2022	December 2023	March 2024	August 20, 2021		December 2, 2022	JHBMC, Baltimore, Maryland, United States		https://ClinicalTrials.gov/show/NCT05015439
88	NCT03715166	Efficacy and Safety of Bumetanide Oral Liquid Formulation in Children and Adolescents Aged From 7 to Less Than 18 Years Old With Autism Spectrum Disorder		Terminated	No Results Available	Autism Spectrum Disorder (ASD)	Drug: Bumetanide Oral Solution|Drug: Placebo	Childhood Autism Rating Scale, Second Edition (CARS2) total raw score|Social Responsiveness Scale, Second Edition (SRS-2) total raw score|Clinical Global Impression - Global Improvement (CGI-I) score|Vineland Adaptative Behaviour Sales, Second Edition (VABS II) subscores|Adverse events and Paediatric Adverse Event Rating Scale (PAERS)|Abnormalities in 12-leads electrocardiogram (ECG) parameters|Renal ultrasound|the Columbia Suicide Severity Rating Scale Children's version (C-SSRS-C)|Tanner stage|Acceptability and palatability questionnaire|Paediatric Quality of Life Inventory (PedsQL) questionnaire	Institut de Recherches Internationales Servier|ADIR, a Servier Group company|Servier	All	7 Years to 17 Years   (Child)	Phase 3	211	Other|Industry	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment	CL3-95008-001|2017-004419-38	September 24, 2018	September 13, 2021	September 13, 2021	October 23, 2018		March 29, 2022	Trial Tech em Pesquisas com Medicamentos Ltda, Curitiba, Brazil|Hospital Universitário Walter Cantídio - Universidade Federal do Ceará, Fortaleza, Brazil|Hospital São Vicente de Paulo, Passo Fundo, Brazil|Universidade Federal de São Paulo, Escola Paulista de Medicina, São Paulo, Brazil|Faculdade de Medicina da Universidade de São Paulo - Departamento de Psiquiatria, São Paulo, Brazil|GSC CHU-LENVAL Centre ressource autisme, Nice, Alpes-Maritimes, France|Hôpitaux Universitaires de Strasbourg Service de Psychiatrie de l'Enfant et de l'Adolescent, Strasbourg, Alsace-Champagne-Ardenne-Lorraine, France|Centre d'Investigation Clinique de Lyon, Bron, Auvergne Rhone Alpes, France|Hôpital Le Vinatier CRA Rhône-Alpes, Bat 211, Bron, Auvergne-Rhône-Alpes, France|Hôpital Robert Debré Service de Psychiatrie de l'enfant et de l'adolescent, Paris, Il De France, France|CHU Rouen, Rouen, Normandie, France|Centre Hospitalier du Rouvray Centre de Ressources pour l'Autisme, Sotteville-lès-Rouen, Normandie, France|Hôpital des Enfants-Pellegrin, Bordeaux, Nouvelle Aquitaine, France|Centre Hospitalier Charles Perrens CRA Aquitaine, Bordeaux, Nouvelle-Aquitaine, France|Universitätsklinikum Freiburg, Zentrum für Psychische Erkrankungen, Klinik für Psychiatrie, Psychotherapie und Psychosomatik im Kindes- und Jugendalter, Freiburg, Baden-Württemberg, Germany|Klinik für Psychiatrie und Psychotherapie des Kindes- und Jugendalters am Zentralinstitut für Seelische Gesundheit, Mannheim, Baden-Württemberg, Germany|Universitätsklinikum Carl Gustav Carus an der TU Dresden, Klinik und Poliklinik für Kinder- und Jugendpsychiatrie und, Dresden, Saxony (Sachsen), Germany|Vadaskert Korhaz es Szakambulancia, Budapest, Hungary|Servus Salvus Kft., Budapest, Hungary|Bekes Megyei Kozponti Korhaz Gyermek es ifjusagpszichiatriai osztaly, Gyula, Hungary|Szegedi Tudományegyetem Szent-Gyorgy Albert Klinikai Kozpont Gyermekgyógyászati Klinika Gyermek es Ifjusagpszichiátriai o, Szeged, Hungary|Unità Semplice di Psichiatria Infantile Policlinico Universitario di Napoli - Università Federico II, Napoli, Campania, Italy|Neuro Riabilitazione/Psicopatologia dell'età evolutiva Istituto Scientifico Medea - Bosisio Parini, Bosisio Parini, Lombardia, Italy|U.O. di Neuropsichiatria Infantile Fondazione Istituto Neurologico Nazionale Casimiro Mondino Istituto di Ricovero e Cura a Carattere Scientifico, Pavia, Lombardia, Italy|Clinica di Neuropsichiatria dell'Infanzia e dell'Adolescenza Ospedale Pediatrico-Microcitemico, Cagliari, Sardegna, Italy|Programma Interdipartimentale "Autismo 0-90" A.O.U. Policlinico "Gaetano Martino", Messina, Sicilia, Italy|U.O.C. Psichiatria dello Sviluppo IRCCS Fondazione Stella Maris, Calambrone, Toscana, Italy|U.O. di Neuropsichiatria Infantile Azienda Ospedaliera Universitaria Senese, Siena, Toscana, Italy|Accare Groningen, Groningen, Netherlands|NAVICULA Centrum Diagnozy i Terapii Autyzmu w Łodzi, Lodz, Wojewodztwo Lodzkie, Poland|Samodzielny Publiczny Dziecięcy Szpital Kliniczny w Warszawie Oddział Kliniczny Psychiatrii Wieku Rozwojowego, Warszawa, Wojewodztwo Mazowieckie, Poland|Niepubliczny Zakład Opieki Zdrowotnej Gdańskie Centrum Zdrowia Sp. z o.o., Gdansk, Wojewodztwo Pomorskie, Poland|Centrum Badań Klinicznych PI-House sp. z o.o, Gdansk, Poland|Fundacja SYNAPSIS ul., Warszawa, Poland|Centro Hospitalar e Universitario de Coimbra Hospital Pediatrico, Coimbra, Portugal|Hospita Mutua de Terrassa, Terrassa, Barcelona, Spain|Policlinica Guipuzcoa, San Sebastian, Guipuzcoa, Spain|Hospital Puerta de Hierro, Majadahonda, Madrid, Spain|Hospital General Universitario de Alicante, Alicante, Spain|Hospital Clinic de Barcelona, Barcelona, Spain|Hospital Niño Jesus, Madrid, Spain|Hospital Universitario Gregorio Marañon, Madrid, Spain|Forward Thinking Birmingham_Birmingham Women's and Children's NHS Foundation Trust, Birmingham, United Kingdom|ReCognition Health, London, United Kingdom|The Winnicott Centre, Manchester, United Kingdom		https://ClinicalTrials.gov/show/NCT03715166
89	NCT00380692	Atomoxetine Versus Placebo for Symptoms of Attention-Deficit/Hyperactivity Disorder (ADHD) in Children and Adolescents With Autism Spectrum Disorder		Completed	Has Results	Autistic Disorder|Attention Deficit Disorder With Hyperactivity	Drug: Atomoxetine|Drug: Placebo	ADHD Rating Scale-IV-Parent Version: Investigator Scored - Total Score|Clinical Global Impressions-ADHD-Improvement (CGI-ADHD - I)|Conners' Teacher Rating Scale - Revised: Short Form (CTRS-R:S)|ADHD Rating Scale-IV-Parent Version: Investigator Scored Total Score|Sleep Measure Scale|Aberrant Behavior Checklist (ABC)|Children's Social Behavior Questionnaire (CSBQ) Total Score|General Health Questionnaire (GHQ) Total Score|Nijmeegse Ouderlijke Stress Index (NOSI) Total Score|Amsterdam Neuropsychological Tasks (ANT): Focused Attention Task - Error Rates|Amsterdam Neuropsychological Tasks (ANT): Focused Attention Task - Reaction Times for Hits and Correct Rejections|Amsterdam Neuropsychological Tasks (ANT): Focused Attention Task - Standard Deviation of Reaction Times for Hits and Correct Rejections|Amsterdam Neuropsychological Tasks (ANT): Memory Search Task - Error Rates|Amsterdam Neuropsychological Tasks (ANT): Memory Search Task - Reaction Times for Hits and Correct Rejections|Amsterdam Neuropsychological Tasks (ANT): Memory Search Task - Standard Deviation (SD) of Reaction Times for Hits and Correct Rejections|Amsterdam Neuropsychological Tasks (ANT): Pursuit Motor Control Task - Accuracy|Amsterdam Neuropsychological Tasks (ANT): Pursuit Motor Control Task - Stability of Movement|Amsterdam Neuropsychological Tasks (ANT): Go/No-Go Response Inhibition Task - Error Rates|Amsterdam Neuropsychological Tasks (ANT): Flanker Interference Task - Error Rates|Amsterdam Neuropsychological Tasks (ANT): Flanker Interference Task - Reaction Times|Cytochrome P450 2D6 Genotype	Eli Lilly and Company	All	6 Years to 17 Years   (Child)	Phase 4	97	Industry	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment	10483|B4Z-UT-S017	October 2006	May 2008	October 2008	September 26, 2006	July 8, 2009	May 11, 2010	For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST), or speak with your personal physician., Amsterdam, Netherlands|For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST), or speak with your personal physician., Den Haag, Netherlands|For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST), or speak with your personal physician., Groningen, Netherlands|For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST), or speak with your personal physician., Hoorn, Netherlands|For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST), or speak with your personal physician., Maastricht, Netherlands|For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST), or speak with your personal physician., Nijmegen, Netherlands|For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST), or speak with your personal physician., Oosterhout, Netherlands|For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST), or speak with your personal physician., Utrecht, Netherlands		https://ClinicalTrials.gov/show/NCT00380692
90	NCT03337646	Evaluation of the Effect and Safety of Lisdexamfetamine in Children Aged 6-12 With ADHD and Autism		Recruiting	No Results Available	Attention Deficit Hyperactivity Disorder|Autism Spectrum Disorder	Drug: Lisdexamfetamine Dimesylate	ADHD Symptoms|Health Related Quality of Life|Executive Function|Severity of illness|Improvement of Subjects|Safety-Adverse events|Safety - suicidality	JPM van Stralen Medicine Professional|Shire	All	6 Years to 12 Years   (Child)	Phase 4	40	Other|Industry	Interventional	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	RES 16-002	September 26, 2018	December 31, 2022	December 31, 2022	November 9, 2017		March 29, 2022	Center for Pediatric Excellence, Ottawa, Ontario, Canada		https://ClinicalTrials.gov/show/NCT03337646
91	NCT04156646	A Study to Investigate the Effect of Esomeprazole and the Effect of Food on the Pharmacokinetics of Balovaptan in Healthy Volunteers		Completed	Has Results	Autism Spectrum Disorder	Drug: Balovaptan|Drug: Esomeprazole	Maximum Plasma Concentration (Cmax) of Balovaptan|Mean Area Under the Concentration-Time Curve From Time Extrapolated to Infinity (AUC (0-inf)) of Balovaptan|Area Under the Concentration-Time Curve From Time 0 to 24 Hours (AUC(0-24h)) of Balovaptan|Area Under the Concentration-Time Curve From Time 0 to the Time of the Last Quantifiable Concentration (AUClast) of Balovaptan|Time to Reach Cmax in Plasma (Tmax) of Balovaptan|Last Quantifiable Concentration (Clast) of Balovaptan|Time To the Last Quantifiable Concentration (Tlast) of Balovaptan|Time Between Dosing and Time of First Balovaptan Plasma Concentration (Tlag)|Apparent Clearance (Cl/F) of Balovaptan|Apparent Volume of Distribution (Vd/F) of Balovaptan|Terminal Elimination Phase Half-Life (T1/2) of Balovaptan|Terminal Phase Rate Constant (λz) of Balovaptan|Plasma Concentrations of Balovaptan|Maximum Plasma Concentration (Cmax) of M2 Metabolite|Maximum Plasma Concentration (Cmax) of M3 Metabolite|Maximum Plasma Concentration (Cmax) of Esomeprazole|Area Under the Concentration-Time Curve From Time Extrapolated to Infinity (AUC (0-inf)) of M2 Metabolite|Area Under the Concentration-Time Curve From Time Extrapolated to Infinity (AUC (0-inf)) of M3 Metabolite|Area Under the Concentration-Time Curve From Time Extrapolated to Infinity (AUC (0-inf)) of Esomeprazole|Area Under the Concentration-Time Curve From Time 0 to 24 Hours (AUC(0-24h)) of M2 Metabolite|Area Under the Concentration-Time Curve From Time 0 to 24 Hours (AUC(0-24h)) of M3 Metabolite|Area Under the Concentration-Time Curve From Time 0 to the Time of the Last Quantifiable Concentration (AUClast) of M2 Metabolite|Area Under the Concentration-Time Curve From Time 0 to the Time of the Last Quantifiable Concentration (AUClast) of M3 Metabolite|Area Under the Concentration-Time Curve From Time 0 to the Time of the Last Quantifiable Concentration (AUClast) of Esomeprazole|Time to Reach Cmax in Plasma (Tmax) of M2 Metabolite|Time to Reach Cmax in Plasma (Tmax) of M3 Metabolite|Time to Reach Cmax in Plasma (Tmax) of Esomeprazole|Last Quantifiable Concentration (Clast) of M2 Metabolite|Last Quantifiable Concentration (Clast) of M3 Metabolite|Last Quantifiable Concentration (Clast) of Esomeprazole|Time To the Last Quantifiable Concentration (Tlast) of M2 Metabolite|Time To the Last Quantifiable Concentration (Tlast) of M3 Metabolite|Time To the Last Quantifiable Concentration (Tlast) of Esomeprazole|Terminal Elimination Phase Half-Life (T1/2) of M2 Metabolite|Terminal Elimination Phase Half-Life (T1/2) of M3 Metabolite|Terminal Elimination Phase Half-Life (T1/2) of Esomeprazole|Percentage of Patricipants With Adverse Events (AEs)|Terminal Phase Rate Constant (λz) of M2 Metabolite|Terminal Phase Rate Constant (λz) of M3 Metabolite|Terminal Phase Rate Constant (λz) of Esomeprazole|Plasma Concentrations of M2 Analyte|Plasma Concentrations of M3 Analyte|Plasma Concentrations of Esomeprazole	Hoffmann-La Roche	All	18 Years to 65 Years   (Adult, Older Adult)	Phase 1	16	Industry	Interventional	Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	WP41047	November 19, 2019	December 24, 2019	January 6, 2020	November 7, 2019	March 16, 2021	March 16, 2021	PRA International Clinical Pharmacology Center (EDS US Clinic), Lenexa, Kansas, United States	"Study Protocol and Statistical Analysis Plan", https://ClinicalTrials.gov/ProvidedDocs/46/NCT04156646/Prot_SAP_000.pdf	https://ClinicalTrials.gov/show/NCT04156646
92	NCT04151290	Cognoa ASD Diagnosis Aid Validation Study		Completed	Has Results	Autism Spectrum Disorder	Diagnostic Test: Cognoa ASD diagnostic device	Positive and Negative Predictive Value of ASD Dx in Relation to Clinician Diagnostic Evaluation|No Result Percentage|Device Sensitivity and Specificity	Cognoa, Inc.	All	18 Months to 72 Months   (Child)	Not Applicable	711	Industry	Interventional	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic	Q170886	August 7, 2019	June 5, 2020	August 31, 2020	November 5, 2019	December 28, 2021	December 28, 2021	Melmed Center, Scottsdale, Arizona, United States|The Nicholls Group, Scottsdale, Arizona, United States|Orange County Child Neurology, Laguna Niguel, California, United States|Pediatric Neurology of Orange County, Laguna Niguel, California, United States|Private Practice, Laguna Niguel, California, United States|Private Practice, Los Angeles, California, United States|Private Practice, Palo Alto, California, United States|MediSync Clinical Research Hattiesburg Clinic, Petal, Mississippi, United States|PriMed Clinical Research, Dayton, Ohio, United States|ARC Clinical Research at Wilson Parke, Austin, Texas, United States|ARC Clinical Research William Cannon, Austin, Texas, United States|ARC Clinical Research Kelly Lane, Pflugerville, Texas, United States|Texas Child Neurology, Plano, Texas, United States|Private Practice, Seattle, Washington, United States|Seattle Children's Hospital, Seattle, Washington, United States|Multicare Health System - Mary Bridge Pediatrics, Tacoma, Washington, United States	"Study Protocol", https://ClinicalTrials.gov/ProvidedDocs/90/NCT04151290/Prot_004.pdf|"Statistical Analysis Plan", https://ClinicalTrials.gov/ProvidedDocs/90/NCT04151290/SAP_005.pdf	https://ClinicalTrials.gov/show/NCT04151290
93	NCT03912350	The Effect of Hepatic Impairment on the Pharmacokinetics of Balovaptan		Withdrawn	No Results Available	Autism Spectrum Disorder	Drug: Balovaptan	Plasma concentration of balovaptan|Plasma concentration of M2 metabolite, as applicable|Plasma concentration of M3 metabolite|AUC during the dosing interval on Day 1 of balovaptan|AUC during the dosing interval on Day 1 of M2 metabolite|AUC during the dosing interval on Day 1 of M3 metabolite|AUC during the dosing interval at steady state on Day 14 of balovaptan|AUC during the dosing interval at steady state on Day 14 of M2 metabolite|AUC during the dosing interval at steady state on Day 14 of M3 metabolite|Maximum observed plasma concentration (Cmax) of balovaptan|Maximum observed plasma concentration (Cmax) of M2 metabolite|Maximum observed plasma concentration (Cmax) of M3 metabolite|Time of maximum observed plasma concentration (Tmax) of balovaptan|Time of maximum observed plasma concentration (Tmax) of M2 metabolite|Time of maximum observed plasma concentration (Tmax) of M3 metabolite|Metabolite:Parent ratio of area under the plasma (MRauc) of M2 metabolite|Metabolite:Parent ratio of area under the plasma (MRauc) of M3 metabolite|Metabolite:Parent ratio of maximum observed plasma (MRcmax) of M2 metabolite|Metabolite:Parent ratio of maximum observed plasma (MRcmax) of M3 metabolite|Apparent volume of distribution (V/F) of balovaptan|Apparent volume of distribution (V/F) of M2 metabolite|Apparent volume of distribution (V/F) of M3 metabolite|Terminal phase rate constant (λZ) of balovaptan, when possible|Terminal phase rate constant (λZ) of M2 metabolite, when possible|Terminal phase rate constant (λZ) of M3 metabolite, when possible|Apparent terminal elimination half-life (t½) of balovaptan, when possible|Apparent terminal elimination half-life (t½) of M2 metabolite, when possible|Apparent terminal elimination half-life (t½) of M3 metabolite, when possible|Apparent plasma clearance after oral administration (CLss/F) of balovaptan, when possible|Apparent plasma clearance after oral administration (CLss/F) of M2 metabolite, when possible|Apparent plasma clearance after oral administration (CLss/F) of M3 metabolite, when possible|Apparent volume of distribution based on the terminal phase after oral administration (Vz/F) of balovaptan, when possible|Apparent volume of distribution based on the terminal phase after oral administration (Vz/F) of M2 metabolite, when possible|Apparent volume of distribution based on the terminal phase after oral administration (Vz/F) of M3 metabolite, when possible|Percentage of participants with adverse events	Hoffmann-La Roche	All	18 Years to 75 Years   (Adult, Older Adult)	Phase 1	0	Industry	Interventional	Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	WP41045	June 26, 2022	September 24, 2022	October 13, 2022	April 11, 2019		February 8, 2022			https://ClinicalTrials.gov/show/NCT03912350
94	NCT03507569	Open Label, Adaptive, Parallel Group PET Study Using RO7017773 And [11C] RO15-4513		Completed	Has Results	Autism Spectrum Disorder	Drug: RO7017773|Other: [11C] Ro15-4513	Percentage of Brain Alpha5-Containing GABA-A Receptors Occupied by RO7017773|Plasma Concentrations of RO7017773|Number of Participants With Adverse Events (AEs)	Hoffmann-La Roche	All	23 Years to 55 Years   (Adult)	Phase 1	6	Industry	Interventional	Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	BP40257	April 24, 2018	June 22, 2018	June 22, 2018	April 25, 2018	September 30, 2019	September 30, 2019	Hammersmith Medicines Research; Central Middlesex Hospital, London, United Kingdom	"Study Protocol and Statistical Analysis Plan", https://ClinicalTrials.gov/ProvidedDocs/69/NCT03507569/Prot_SAP_000.pdf	https://ClinicalTrials.gov/show/NCT03507569
95	NCT05602116	ASC - Autism Study		Not yet recruiting	No Results Available	Autism Spectrum Disorder|Gastrointestinal Dysfunction|Leaky Gut Syndrome|Mesenchymal Stromal Cells|Inflammatory Bowel Diseases	Drug: Adipose tissue derived mesenchymal stromal/stem cells (Cell2Cure®)	Safety of C2C_ASC (Adverse Events)|Changes in autism spectrum disorder|Changes in gastrointestinal symptoms	Cell2Cure ApS	All	6 Years to 14 Years   (Child)	Phase 1	10	Industry	Interventional	Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	ASC II	February 1, 2023	February 1, 2026	February 1, 2026	November 1, 2022		November 4, 2022			https://ClinicalTrials.gov/show/NCT05602116
